code,city,country,lat,lon
GKA,GOROKA,PAPUA NEW GUINEA,-6.082,145.392
MAG,MADANG,PAPUA NEW GUINEA,-5.207,145.789
HGU,MOUNT HAGEN,PAPUA NEW GUINEA,-5.826,144.296
LAE,NADZAB,PAPUA NEW GUINEA,-6.570,146.726
POM,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.220
WWK,WEWAK,PAPUA NEW GUINEA,-3.584,143.669
UAK,NARSSARSSUAQ,GREENLAND,61.161,-45.427
N/A,NERLERIT INAAT,GREENLAND,70.739,-22.646
GOH,GODTHAAB,GREENLAND,64.191,-51.678
JAV,JAKOBSHAVN,GREENLAND,69.233,-51.067
KUS,KULUSUK,GREENLAND,65.583,-37.150
SFJ,SONDRESTROM,GREENLAND,67.017,-50.689
THU,THULE,GREENLAND,76.531,-68.703
AEY,AKUREYRI,ICELAND,65.660,-18.072
EGS,EGILSSTADIR,ICELAND,65.283,-14.401
HFN,HOFN,ICELAND,64.296,-15.227
HZK,HUSAVIK,ICELAND,65.952,-17.426
IFJ,ISAFJORDUR,ICELAND,66.058,-23.135
KEF,KEFLAVIK,ICELAND,63.985,-22.606
OPA,KOPASKER,ICELAND,66.314,-16.461
PFJ,PATREKSFJORDUR,ICELAND,65.556,-23.965
RKV,REYKJAVIK,ICELAND,64.130,-21.941
SIJ,SIGLUFJORDUR,ICELAND,66.133,-18.917
VEY,VESTMANNAEYJAR,ICELAND,63.424,-20.279
YAM,SAULT SAINTE MARIE,CANADA,46.485,-84.509
YAV,WINNIPEG,CANADA,50.056,-97.032
YAW,HALIFAX,CANADA,44.640,-63.499
YAY,ST. ANTHONY,CANADA,51.392,-56.084
YAZ,TOFINO,CANADA,49.082,-125.772
YBB,PELLY BAY,CANADA,68.534,-89.808
YBC,BAIE COMEAU,CANADA,49.132,-68.207
YBG,BAGOTVILLE,CANADA,48.331,-70.996
YBK,BAKER LAKE,CANADA,64.299,-96.078
YBL,CAMPBELL RIVER,CANADA,49.951,-125.271
